ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success,Age
193,1997,Basic,Married,14421,0,0,17/02/2014,81,0,0,2,3,3,8,1,1,2,5,0,0,SP,1,17
9909,1997,2n Cycle,Married,7500,0,0,09/11/2012,24,3,18,14,15,22,50,3,3,3,9,1,0,AUS,0,17
8315,1996,Graduation,Single,34824,0,0,26/03/2014,65,4,2,11,2,0,4,1,1,2,6,0,0,US,0,18
5184,1996,Graduation,Single,34824,0,0,26/03/2014,65,4,2,11,2,0,4,1,1,2,6,0,0,SP,0,18
10548,1996,Graduation,Single,71163,0,0,09/03/2014,30,283,17,372,138,106,44,1,3,12,1,0,0,GER,0,18
3661,1996,2n Cycle,Single,80617,0,0,12/10/2012,42,594,51,631,72,55,32,1,4,8,2,0,0,IND,0,18
4427,1996,2n Cycle,Single,83257,0,0,18/09/2012,56,536,27,590,38,107,67,1,5,12,6,1,1,SP,2,18
5067,1995,Graduation,Together,80134,0,0,14/02/2014,11,966,26,282,52,26,26,1,2,11,5,0,0,SP,4,19
10619,1995,Graduation,Single,95529,0,0,03/12/2012,29,770,29,890,250,27,24,1,7,7,3,1,0,SA,1,19
6905,1995,Graduation,Together,80685,0,0,22/08/2012,55,241,45,604,34,26,54,1,6,10,2,0,0,SP,0,19
2669,1994,Graduation,Single,74293,0,0,04/05/2014,66,375,152,335,93,91,81,1,5,6,2,0,0,SP,0,20
10037,1994,Graduation,Single,74293,0,0,04/05/2014,66,375,152,335,93,91,81,1,5,6,2,0,0,SA,0,20
5080,1994,Graduation,Single,70515,0,0,21/10/2013,12,420,0,452,182,64,140,1,6,4,2,1,0,ME,0,20
4483,1994,Graduation,Single,72354,0,0,17/04/2013,67,315,26,473,220,12,182,1,2,6,1,0,0,SA,0,20
4055,1993,Basic,Single,18746,1,0,29/05/2014,41,2,10,11,12,9,20,2,3,3,6,0,0,SP,0,21
3005,1993,Graduation,Single,83528,0,0,01/05/2014,7,530,117,678,134,44,147,1,4,8,1,1,0,SP,2,21
1384,1993,Basic,Married,17256,1,0,23/11/2013,10,6,4,14,8,8,22,2,2,2,8,0,0,US,1,21
4654,1993,Graduation,Together,75114,0,0,07/11/2013,40,571,12,523,63,60,24,1,3,5,2,0,0,SA,0,21
7600,1993,Basic,Single,15253,1,0,28/10/2013,13,1,3,3,8,1,13,2,1,3,7,0,0,CA,0,21
3386,1993,Graduation,Married,34935,0,0,21/06/2013,71,34,4,66,3,10,20,1,2,4,7,0,0,SP,0,21
8175,1993,Graduation,Married,34935,0,0,21/06/2013,71,34,4,66,3,10,20,1,2,4,7,0,0,SA,0,21
1379,1993,Master,Together,42670,0,0,27/04/2013,12,154,2,46,20,4,15,1,4,4,4,0,0,SA,0,21
10513,1993,Graduation,Together,63207,0,0,20/01/2013,68,438,169,565,91,169,70,1,2,6,7,0,0,SP,1,21
2802,1993,2n Cycle,Married,87000,0,0,15/12/2012,61,196,25,607,67,17,49,1,4,7,2,0,0,AUS,0,21
4136,1993,Basic,Single,7500,1,0,03/12/2012,63,10,17,18,8,26,40,4,3,2,9,0,0,SP,0,21
821,1993,Master,Single,92859,0,0,19/10/2012,46,962,61,921,52,61,20,1,5,12,2,0,0,CA,0,21
8560,1993,Graduation,Single,48789,0,0,10/09/2012,94,351,16,156,7,5,145,1,6,7,6,0,0,CA,0,21
9960,1992,Basic,Single,26868,1,0,30/04/2014,52,0,0,1,8,3,2,1,1,2,7,0,0,SA,0,22
5735,1992,Master,Single,90638,0,0,13/02/2014,29,1156,120,915,94,144,96,1,3,10,1,0,0,SP,1,22
5350,1992,Master,Single,90638,0,0,13/02/2014,29,1156,120,915,94,144,96,1,3,10,1,1,0,SA,1,22
569,1992,Graduation,Single,90273,0,0,14/12/2013,32,704,129,853,120,74,111,1,5,7,2,1,0,SP,3,22
3428,1992,PhD,Together,68682,0,0,06/10/2013,56,919,0,505,99,30,45,1,4,10,2,0,0,SP,0,22
9214,1992,Graduation,Married,42691,0,0,16/08/2013,48,179,2,64,38,17,58,1,5,6,5,0,0,SP,0,22
4552,1992,Graduation,Married,51373,0,0,22/06/2013,37,83,2,101,64,26,117,1,3,3,4,0,0,SP,0,22
5631,1992,Graduation,Single,49767,0,0,02/05/2013,92,202,47,197,55,42,149,1,5,8,4,0,0,US,0,22
11101,1992,Graduation,Together,89891,0,0,15/04/2013,17,412,22,132,59,28,183,1,11,8,4,0,0,AUS,1,22
999,1992,Graduation,Single,86037,0,0,02/01/2013,95,490,44,125,29,20,22,1,6,11,3,1,0,CA,2,22
4712,1992,2n Cycle,Together,20193,0,0,28/11/2012,18,8,8,22,24,11,9,1,1,4,4,0,0,SP,0,22
7431,1992,PhD,Single,68126,0,0,10/11/2012,40,1332,17,311,23,51,86,1,7,5,9,1,0,CA,1,22
10343,1992,2n Cycle,Single,61618,0,0,29/09/2012,27,605,91,399,0,45,205,2,3,8,3,0,0,IND,0,22
10749,1992,Graduation,Single,8028,0,0,18/09/2012,62,73,18,66,7,12,2,15,0,0,19,0,0,SP,0,22
8541,1991,2n Cycle,Married,24683,1,0,08/03/2014,98,8,4,10,6,7,6,2,2,4,5,0,0,SP,0,23
2005,1991,Graduation,Married,35765,1,0,11/12/2013,86,22,3,30,0,5,15,2,2,4,6,0,0,CA,0,23
9529,1991,Graduation,Married,73687,0,0,28/11/2013,8,559,153,503,218,13,181,1,3,9,2,1,0,SA,1,23
3068,1991,Graduation,Married,18351,0,0,29/10/2013,1,1,12,9,0,14,7,1,2,3,7,0,0,SP,0,23
9242,1991,Graduation,Single,64509,0,0,17/08/2013,19,836,185,575,24,25,77,1,6,9,4,1,0,SA,1,23
7620,1991,Basic,Single,16185,1,0,05/08/2013,71,5,11,16,21,8,45,2,2,2,8,0,0,IND,0,23
10595,1991,Graduation,Married,30093,0,0,08/07/2013,19,2,6,28,13,4,16,1,2,3,7,0,0,SP,0,23
10203,1991,Graduation,Single,26095,1,0,30/06/2013,77,11,7,9,3,1,11,1,1,3,7,0,0,SP,0,23
2109,1991,Graduation,Single,96843,0,0,23/04/2013,60,448,71,951,40,17,17,1,6,10,2,1,0,SP,1,23
4656,1991,2n Cycle,Single,51250,1,0,30/03/2013,28,342,32,230,34,32,40,5,10,4,9,0,0,SA,1,23
3520,1991,Master,Single,91172,0,0,27/03/2013,94,162,28,818,0,28,56,0,4,7,3,1,0,CA,4,23
2253,1991,Graduation,Married,18929,0,0,16/02/2013,15,32,0,8,23,4,18,1,1,4,6,0,0,SP,0,23
1876,1991,Graduation,Married,18929,0,0,16/02/2013,15,32,0,8,23,4,18,1,1,4,6,0,0,IND,0,23
2678,1991,Graduation,Single,34412,1,0,13/02/2013,62,52,12,50,4,36,55,3,5,3,9,0,0,AUS,0,23
2431,1991,Graduation,Married,18222,0,0,31/12/2012,70,12,4,19,12,6,14,1,2,3,8,0,0,SP,0,23
8151,1991,Basic,Married,24279,0,0,29/12/2012,6,16,36,21,20,62,108,1,4,3,8,0,0,SP,0,23
8278,1991,PhD,Married,74214,0,0,26/08/2012,3,863,83,547,86,99,33,1,8,5,5,0,0,SP,0,23
6864,1990,Master,Divorced,10979,0,0,22/05/2014,34,8,4,10,2,2,4,2,3,3,5,0,0,AUS,0,24
10617,1990,Master,Divorced,10979,0,0,22/05/2014,34,8,4,10,2,2,4,2,3,3,5,0,0,SP,0,24
10767,1990,PhD,Together,77845,0,0,16/05/2014,40,760,40,480,0,40,26,1,3,12,1,0,0,US,2,24
5987,1990,2n Cycle,Together,10404,1,0,04/05/2014,52,2,2,11,10,6,12,2,1,4,5,0,0,SP,0,24
3010,1990,Master,Together,88420,0,0,02/05/2014,87,957,153,612,99,95,153,1,4,8,1,0,0,SP,3,24
5371,1990,Graduation,Single,21474,1,0,08/04/2014,0,6,16,24,11,0,34,2,3,2,7,1,0,SP,1,24
8746,1990,Graduation,Married,75433,1,0,05/04/2014,28,800,0,297,0,34,57,2,2,10,6,0,0,SP,2,24
6678,1990,Graduation,Together,31928,1,0,28/03/2014,5,33,4,24,4,2,5,2,3,4,7,0,0,IND,0,24
7646,1990,Graduation,Single,64449,1,0,18/02/2014,70,218,63,282,137,35,70,4,5,12,4,0,0,SP,0,24
538,1990,Graduation,Single,46107,1,0,10/02/2014,78,31,9,27,16,9,33,1,1,4,3,0,0,SA,0,24
8789,1990,2n Cycle,Married,59060,1,0,11/01/2014,77,35,40,111,36,40,12,3,3,7,4,0,0,SP,0,24
451,1990,Graduation,Single,9255,1,0,20/12/2013,91,9,0,7,2,0,4,1,1,2,8,0,0,IND,0,24
5294,1990,Graduation,Single,18358,1,0,20/11/2013,49,6,8,19,16,4,4,3,3,4,7,0,0,SP,0,24
663,1990,PhD,Single,33996,0,0,11/09/2013,46,40,2,15,8,0,6,1,1,3,4,0,0,SP,0,24
