ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
1826,1971,gRADUATION,DIvoRcED,"$84,835.00",0,0,2014.06.16,0,189,104,379,111,189,218,1,4,6,1,1,0,sp,0
1,1962,graduation,single,"$57,091.00",0,0,"15 Jun, 14",0,464,5,64,7,0,37,1,7,7,5,1,0,ca,1
10476,1959,graduation,MarriED,"$67,267.00  ",0,1,05-13-2014,0,134,11,59,15,2,30,1,3,5,2,0,0,US,0
1386,1968,gRADUATION,together,"$32,474.00",1,1,2014.05.11,0,10,0,1,0,0,0,1,1,2,7,0,0,aus,0
5371,1990,graduation,sINGLE,"$21,474.00",1,0,2014.04.08,0,6,16,24,11,0,34,2,3,2,7,1,0,sp,1
7348,1959,PHD,sINGLE,"$71,691.00",0,0,03-17-2014,0,336,130,411,240,32,43,1,4,5,2,1,0,sp,0
4073,1955,2N CYCLE,marRIEd,"$63,564.00  ",0,0,01-29-2014,0,769,80,252,15,34,65,1,10,7,6,1,0,Ger,1
1991,1968,graduation,together,"$44,931.00  ",0,1,18/01/2014,0,78,0,11,0,0,7,1,2,3,5,0,0,SP,0
4047,1955,Phd,Married,"$65,324.00",0,1,"January 11, 2014",0,384,0,102,21,32,5,3,6,9,4,0,0,us,0
9477,1955,phd,Married,"$65,324.00",0,1,"11 Jan, 14",0,384,0,102,21,32,5,3,6,9,4,0,0,ind,0
2079,1948,2N cYCLE,married,"$81,044.00",0,0,2013.12.27,0,450,26,535,73,98,26,1,5,10,1,0,0,us,0
5642,1980,master,tOGETHER,"$62,499.00",1,0,"09 Dec, 13",0,140,4,61,0,13,4,2,3,6,4,0,0,sp,0
10530,1960,PHD,WIDOW,"$67,786.00",0,0,07/12/2013,0,431,82,441,80,20,102,1,3,6,1,1,0,INd,0
2964,1982,Graduation,mARRIED,"$26,872.00  ",0,0,16/10/2013,0,3,10,8,3,16,32,1,1,2,6,0,0,Ca,0
10311,1970,Graduation,marrIeD,"$4,428.00  ",0,1,10/05/13,0,16,4,12,2,4,321,0,25,0,1,0,0,Sp,0
837,1978,graduation,mARRIED,"$54,809.00  ",1,1,2013.09.11,0,63,6,57,13,13,22,4,2,5,4,0,0,sp,0
10521,1978,graduation,mARRIED,"$54,809.00  ",1,1,09-11-2013,0,63,6,57,13,13,22,4,2,5,4,1,0,sp,0
10175,1959,pHd,Divorced,"$32,173.00",0,1,"August 01, 2013",0,18,0,2,0,0,2,1,1,3,4,0,0,SP,0
1473,1961,2N cYCLE,single,"$47,823.00",0,1,23/07/2013,0,53,1,5,2,1,10,2,2,3,8,0,0,ca,0
2795,1959,masTER,SINGLE,"$30,523.00",2,1,01/07/2013,0,5,0,3,0,0,5,1,1,2,7,0,0,Ca,0
2285,1955,master,Together,"$36,634.00",0,1,"28 May, 13",0,213,9,76,4,3,30,3,5,5,7,0,0,sa,0
115,1967,MASTER,SINGLE,"$43,456.00",0,1,2013.03.26,0,275,11,68,25,7,7,3,5,8,5,0,0,IND,0
10470,1980,MASTER,married,"$40,662.00",1,0,03/15/13,0,40,2,23,0,4,23,2,2,3,4,0,0,ger,0
4065,1977,Phd,MARRIED,"$49,544.00",1,0,12/02/2013,0,308,0,73,0,0,23,2,5,8,7,0,0,SP,0
10968,1970,GRaduATion,single,"$57,731.00",0,1,"November 23, 2012",0,266,21,300,65,8,44,4,8,6,6,0,0,ind,0
5985,1966,Master,SINglE,"$33,168.00",0,1,"13 Oct, 12",0,80,1,37,0,1,3,3,2,4,7,0,0,Sp,0
5430,1957,GRADUATION,together,"$54,450.00",1,1,09-14-2012,0,454,0,171,8,19,32,12,9,8,8,0,0,SP,0
8432,1957,Graduation,TOGETHER,"$54,450.00",1,1,09-14-2012,0,454,0,171,8,19,32,12,9,8,8,0,0,SP,0
453,1957,pHd,Widow,"USD 35,340.00",1,1,"29 Jun, 14",1,27,0,12,0,1,5,2,2,3,5,0,0,sp,0
9687,1976,gRADUATION,sINGLE,"$73,170.00",0,0,"May 31, 2014",1,184,174,256,50,30,32,1,5,6,2,0,0,CA,0
8890,1972,pHd,dIVORCED,"USD 65,808.00",1,1,30/05/2014,1,155,7,80,13,7,10,3,5,5,6,0,0,SP,0
9264,1987,graduation,married,"$79,529.00",0,0,"April 27, 2014",1,423,42,706,73,197,197,1,4,9,2,0,0,CA,0
5824,1973,pHD,TOGETHER,"$34,578.00",2,1,2014.04.11,1,7,0,1,0,0,0,1,1,2,6,0,0,AUS,0
5794,1975,pHd,MArRIeD,"$46,374.00",0,1,03-17-2014,1,408,0,21,0,0,17,3,7,7,8,1,0,Ind,2
3068,1991,graduation,mARriEd,"$18,351.00",0,0,"29 Oct, 13",1,1,12,9,0,14,7,1,2,3,7,0,0,sp,0
7962,1988,Phd,sINGLE,"$95,169.00",0,0,2013.10.09,1,1285,21,449,106,20,20,1,4,4,1,1,0,sp,2
2681,1985,2N cYCLE,married,"$65,370.00",0,0,"August 01, 2013",1,71,22,112,138,89,29,1,2,13,1,0,0,sp,0
10141,1961,master,Divorced,"$39,228.00",0,0,10/05/2013,1,7,1,6,0,3,3,1,0,3,4,0,0,Sa,0
3725,1962,PHD,sINGLE,"$84,865.00",0,0,2013.05.09,1,1248,16,349,43,16,16,1,2,9,4,1,0,SP,4
3767,1969,gRADUATION,MARRIED,"$61,314.00  ",0,1,04-25-2013,1,378,0,189,97,172,172,2,5,12,3,0,0,Sp,0
5585,1973,gRADUATION,single,"$21,359.00",1,0,04-20-2013,1,12,2,17,6,1,10,2,2,3,8,1,0,ca,0
7030,1956,pHd,Married,"$66,465.00  ",0,1,2013.03.30,1,1200,0,204,38,29,14,3,11,12,6,0,0,SP,1
1524,1984,2n cycle,Single,"$81,698.00",0,0,03-01-2013,1,709,45,115,30,160,45,1,8,5,5,1,0,Sp,1
